A_X [mg]	A_Y [mg]	A_Z [mg]	
720	0	0
4064	0	0
2272	0	0
400	0	0
1632	0	0
2352	0	0
1504	0	0
512	0	0
3472	0	0
2064	0	0
752	0	0
4272	0	0
2320	0	0
352	0	0
1376	0	0
2496	0	0
1584	0	0
560	0	0
3872	0	0
2304	0	0
784	0	0
4336	0	0
2384	0	0
320	0	0
1232	0	0
2592	0	0
1680	0	0
544	0	0
4336	0	0
2480	0	0
752	0	0
4128	0	0
2320	0	0
1520	0	0
880	0	0
2624	0	0
1680	0	0
512	0	0
3712	0	0
3040	0	0
768	0	0
3616	0	0
2176	0	0
1488	0	0
352	0	0
2448	0	0
1552	0	0
400	0	0
3712	0	0
2192	0	0
704	0	0
3088	0	0
2048	0	0
1408	0	0
480	0	0
2400	0	0
1472	0	0
336	0	0
3600	0	0
1840	0	0
656	0	0
2512	0	0
1904	0	0
1392	0	0
512	0	0
2368	0	0
1440	0	0
368	0	0
3600	0	0
1840	0	0
592	0	0
2160	0	0
1904	0	0
1392	0	0
480	0	0
2480	0	0
1520	0	0
496	0	0
3744	0	0
1952	0	0
544	0	0
1904	0	0
2016	0	0
1392	0	0
480	0	0
2896	0	0
1776	0	0
688	0	0
4256	0	0
2288	0	0
496	0	0
1920	0	0
2352	0	0
1520	0	0
560	0	0
3232	0	0
1888	0	0
704	0	0
4352	0	0
2416	0	0
448	0	0
1680	0	0
2416	0	0
1520	0	0
560	0	0
3696	0	0
2128	0	0
768	0	0
4288	0	0
2384	0	0
272	0	0
1312	0	0
2512	0	0
1616	0	0
560	0	0
4160	0	0
2336	0	0
784	0	0
4192	0	0
2336	0	0
640	0	0
1008	0	0
2496	0	0
1584	0	0
512	0	0
4240	0	0
2528	0	0
736	0	0
3648	0	0
2080	0	0
1440	0	0
528	0	0
2400	0	0
1552	0	0
416	0	0
3312	0	0
2848	0	0
656	0	0
3072	0	0
1920	0	0
1344	0	0
368	0	0
2224	0	0
1360	0	0
352	0	0
3360	0	0
1776	0	0
640	0	0
2768	0	0
1920	0	0
1392	0	0
480	0	0
2384	0	0
1488	0	0
384	0	0
3616	0	0
1872	0	0
672	0	0
2416	0	0
1952	0	0
1376	0	0
512	0	0
2336	0	0
1440	0	0
416	0	0
3664	0	0
1856	0	0
544	0	0
2080	0	0
1984	0	0
1408	0	0
496	0	0
2512	0	0
1536	0	0
560	0	0
3760	0	0
1968	0	0
512	0	0
1808	0	0
2048	0	0
1392	0	0
480	0	0
2896	0	0
1776	0	0
672	0	0
4048	0	0
2240	0	0
480	0	0
1744	0	0
2256	0	0
1520	0	0
560	0	0
3520	0	0
2112	0	0
800	0	0
4208	0	0
2304	0	0
336	0	0
1504	0	0
2512	0	0
1520	0	0
576	0	0
3888	0	0
2224	0	0
800	0	0
4304	0	0
2352	0	0
304	0	0
1264	0	0
2624	0	0
1664	0	0
544	0	0
4208	0	0
2384	0	0
752	0	0
4224	0	0
2368	0	0
1472	0	0
912	0	0
2608	0	0
1648	0	0
544	0	0
3776	0	0
2896	0	0
768	0	0
3600	0	0
2160	0	0
1520	0	0
400	0	0
2560	0	0
1568	0	0
464	0	0
3632	0	0
2512	0	0
704	0	0
3040	0	0
1952	0	0
1392	0	0
448	0	0
2240	0	0
1408	0	0
320	0	0
3584	0	0
1856	0	0
672	0	0
2640	0	0
1888	0	0
1376	0	0
448	0	0
2288	0	0
1424	0	0
352	0	0
3552	0	0
1824	0	0
624	0	0
2240	0	0
1920	0	0
1344	0	0
480	0	0
2384	0	0
1472	0	0
432	0	0
3680	0	0
1904	0	0
544	0	0
1936	0	0
2000	0	0
1376	0	0
480	0	0
2576	0	0
1584	0	0
592	0	0
3888	0	0
2064	0	0
512	0	0
1744	0	0
2192	0	0
1424	0	0
560	0	0
3168	0	0
1968	0	0
768	0	0
4208	0	0
2288	0	0
384	0	0
1712	0	0
2448	0	0
1504	0	0
592	0	0
3536	0	0
2080	0	0
784	0	0
4320	0	0
2336	0	0
336	0	0
1376	0	0
2512	0	0
1584	0	0
576	0	0
4048	0	0
2304	0	0
768	0	0
4240	0	0
2288	0	0
352	0	0
1184	0	0
2608	0	0
1680	0	0
560	0	0
4384	0	0
2544	0	0
800	0	0
3872	0	0
2224	0	0
1536	0	0
720	0	0
2512	0	0
1584	0	0
480	0	0
3648	0	0
2976	0	0
768	0	0
3376	0	0
2112	0	0
1456	0	0
32	0	0
2384	0	0
1472	0	0
368	0	0
3456	0	0
1920	0	0
704	0	0
2832	0	0
1936	0	0
1376	0	0
464	0	0
2368	0	0
1408	0	0
368	0	0
3648	0	0
1872	0	0
656	0	0
2496	0	0
2016	0	0
1440	0	0
512	0	0
2416	0	0
1456	0	0
432	0	0
3616	0	0
1872	0	0
576	0	0
2160	0	0
2016	0	0
1424	0	0
464	0	0
2592	0	0
1552	0	0
592	0	0
3776	0	0
1936	0	0
512	0	0
1840	0	0
2032	0	0
1408	0	0
496	0	0
2688	0	0
1632	0	0
656	0	0
3856	0	0
2096	0	0
464	0	0
1568	0	0
2144	0	0
1392	0	0
528	0	0
3136	0	0
1904	0	0
720	0	0
4032	0	0
2208	0	0
400	0	0
1504	0	0
2384	0	0
1520	0	0
560	0	0
3792	0	0
2240	0	0
784	0	0
4144	0	0
2320	0	0
320	0	0
1264	0	0
2608	0	0
1616	0	0
592	0	0
4368	0	0
2512	0	0
816	0	0
4240	0	0
2352	0	0
1504	0	0
928	0	0
2688	0	0
1712	0	0
576	0	0
4240	0	0
3024	0	0
880	0	0
4000	0	0
2400	0	0
1664	0	0
672	0	0
2672	0	0
1680	0	0
544	0	0
3888	0	0
2992	0	0
768	0	0
3552	0	0
2288	0	0
1600	0	0
432	0	0
2448	0	0
1552	0	0
384	0	0
3568	0	0
1840	0	0
672	0	0
2672	0	0
1936	0	0
1408	0	0
480	0	0
2240	0	0
1392	0	0
336	0	0
3456	0	0
1760	0	0
624	0	0
2224	0	0
1920	0	0
1360	0	0
464	0	0
2384	0	0
1488	0	0
528	0	0
3616	0	0
1888	0	0
576	0	0
1840	0	0
1952	0	0
1376	0	0
496	0	0
2544	0	0
1568	0	0
608	0	0
3600	0	0
1952	0	0
448	0	0
1568	0	0
2000	0	0
1344	0	0
480	0	0
2864	0	0
1760	0	0
688	0	0
3872	0	0
2144	0	0
416	0	0
1680	0	0
2432	0	0
1584	0	0
608	0	0
3504	0	0
2080	0	0
768	0	0
4144	0	0
2224	0	0
352	0	0
1248	0	0
2448	0	0
1552	0	0
560	0	0
4000	0	0
2336	0	0
768	0	0
3984	0	0
2256	0	0
1072	0	0
912	0	0
2608	0	0
1616	0	0
544	0	0
4448	0	0
2576	0	0
784	0	0
3776	0	0
2176	0	0
1504	0	0
656	0	0
2576	0	0
1568	0	0
496	0	0
3680	0	0
3104	0	0
752	0	0
3424	0	0
2128	0	0
1488	0	0
-400	0	0
2448	0	0
1552	0	0
416	0	0
3600	0	0
1920	0	0
704	0	0
2896	0	0
1984	0	0
1424	0	0
448	0	0
2352	0	0
1440	0	0
400	0	0
3584	0	0
1824	0	0
672	0	0
2560	0	0
2032	0	0
1440	0	0
480	0	0
2416	0	0
1504	0	0
464	0	0
3648	0	0
1856	0	0
624	0	0
2032	0	0
1936	0	0
1376	0	0
464	0	0
2432	0	0
1520	0	0
592	0	0
3712	0	0
1936	0	0
480	0	0
1744	0	0
2048	0	0
1360	0	0
496	0	0
2720	0	0
1632	0	0
640	0	0
3888	0	0
2080	0	0
432	0	0
1648	0	0
2160	0	0
1408	0	0
496	0	0
3136	0	0
1904	0	0
704	0	0
4048	0	0
2224	0	0
384	0	0
1504	0	0
2480	0	0
1568	0	0
608	0	0
3760	0	0
2240	0	0
800	0	0
4176	0	0
2256	0	0
320	0	0
1200	0	0
2544	0	0
1600	0	0
608	0	0
4368	0	0
2544	0	0
816	0	0
4048	0	0
2256	0	0
1408	0	0
848	0	0
2544	0	0
1632	0	0
528	0	0
3968	0	0
3024	0	0
832	0	0
3792	0	0
2320	0	0
1616	0	0
592	0	0
2736	0	0
1728	0	0
544	0	0
4000	0	0
2736	0	0
800	0	0
3312	0	0
2208	0	0
1504	0	0
464	0	0
2528	0	0
1584	0	0
384	0	0
3632	0	0
1888	0	0
672	0	0
2736	0	0
2016	0	0
1440	0	0
464	0	0
2320	0	0
1456	0	0
384	0	0
3392	0	0
1712	0	0
592	0	0
2000	0	0
1824	0	0
1312	0	0
512	0	0
2336	0	0
1440	0	0
496	0	0
3520	0	0
1824	0	0
512	0	0
1696	0	0
1872	0	0
1296	0	0
480	0	0
2480	0	0
1520	0	0
624	0	0
3520	0	0
1904	0	0
432	0	0
1568	0	0
2016	0	0
1376	0	0
496	0	0
2752	0	0
1760	0	0
640	0	0
3664	0	0
2032	0	0
336	0	0
1360	0	0
2128	0	0
1376	0	0
544	0	0
3552	0	0
2224	0	0
752	0	0
4016	0	0
2192	0	0
320	0	0
1200	0	0
2352	0	0
1488	0	0
512	0	0
3840	0	0
2320	0	0
752	0	0
3904	0	0
2160	0	0
592	0	0
912	0	0
2528	0	0
1584	0	0
528	0	0
4112	0	0
2560	0	0
720	0	0
3856	0	0
2240	0	0
1552	0	0
656	0	0
2592	0	0
1616	0	0
528	0	0
3904	0	0
3136	0	0
784	0	0
3616	0	0
2256	0	0
1552	0	0
160	0	0
2560	0	0
1600	0	0
432	0	0
3872	0	0
2048	0	0
720	0	0
3056	0	0
2016	0	0
1440	0	0
480	0	0
2304	0	0
1472	0	0
368	0	0
3552	0	0
1824	0	0
640	0	0
2400	0	0
1936	0	0
1408	0	0
496	0	0
2400	0	0
1456	0	0
432	0	0
3680	0	0
1888	0	0
608	0	0
2112	0	0
2016	0	0
1408	0	0
512	0	0
2560	0	0
1552	0	0
592	0	0
3744	0	0
1984	0	0
528	0	0
1792	0	0
2016	0	0
1344	0	0
512	0	0
2656	0	0
1648	0	0
640	0	0
3696	0	0
1968	0	0
400	0	0
1456	0	0
1968	0	0
1344	0	0
496	0	0
2880	0	0
1792	0	0
656	0	0
3776	0	0
2016	0	0
272	0	0
1232	0	0
2160	0	0
1376	0	0
480	0	0
3584	0	0
2240	0	0
768	0	0
4064	0	0
2160	0	0
368	0	0
1136	0	0
2432	0	0
1536	0	0
528	0	0
4240	0	0
2560	0	0
752	0	0
3856	0	0
2144	0	0
1392	0	0
848	0	0
2592	0	0
1616	0	0
560	0	0
3728	0	0
2896	0	0
768	0	0
3776	0	0
2256	0	0
1584	0	0
560	0	0
2704	0	0
1728	0	0
544	0	0
4128	0	0
2864	0	0
832	0	0
3648	0	0
2368	0	0
1616	0	0
432	0	0
2672	0	0
1632	0	0
432	0	0
3968	0	0
2048	0	0
736	0	0
2880	0	0
2144	0	0
1504	0	0
496	0	0
2448	0	0
1504	0	0
