A_X [mg]	A_Y [mg]	A_Z [mg]	
-688	0	0
-672	0	0
-704	0	0
-656	0	0
-704	0	0
-736	0	0
-672	0	0
-688	0	0
-672	0	0
-688	0	0
-688	0	0
-672	0	0
-688	0	0
-688	0	0
-656	0	0
-672	0	0
-672	0	0
-656	0	0
-672	0	0
-688	0	0
-688	0	0
-656	0	0
-672	0	0
-656	0	0
-688	0	0
-688	0	0
-704	0	0
-720	0	0
-656	0	0
-640	0	0
-672	0	0
-704	0	0
-624	0	0
-672	0	0
-688	0	0
-656	0	0
-672	0	0
-672	0	0
-688	0	0
-704	0	0
-672	0	0
-672	0	0
-672	0	0
-672	0	0
-688	0	0
-688	0	0
-656	0	0
-656	0	0
-688	0	0
-672	0	0
-704	0	0
-656	0	0
-656	0	0
-640	0	0
-672	0	0
-688	0	0
-688	0	0
-672	0	0
-704	0	0
-720	0	0
-688	0	0
-672	0	0
-656	0	0
-688	0	0
-672	0	0
-688	0	0
-656	0	0
-704	0	0
-688	0	0
-656	0	0
-672	0	0
-672	0	0
-656	0	0
-672	0	0
-656	0	0
-688	0	0
-672	0	0
-672	0	0
-672	0	0
-704	0	0
-704	0	0
-704	0	0
-688	0	0
-656	0	0
-640	0	0
-640	0	0
-656	0	0
-624	0	0
-672	0	0
-640	0	0
-672	0	0
-688	0	0
-656	0	0
-688	0	0
-624	0	0
-656	0	0
-672	0	0
-672	0	0
-688	0	0
-688	0	0
-688	0	0
-688	0	0
-688	0	0
-672	0	0
-688	0	0
-672	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-704	0	0
-688	0	0
-704	0	0
-688	0	0
-704	0	0
-672	0	0
-688	0	0
-688	0	0
-688	0	0
-704	0	0
-688	0	0
-672	0	0
-688	0	0
-720	0	0
-720	0	0
-672	0	0
-720	0	0
-688	0	0
-688	0	0
-704	0	0
-704	0	0
-656	0	0
-704	0	0
-688	0	0
-688	0	0
-688	0	0
-672	0	0
-672	0	0
-656	0	0
-656	0	0
-656	0	0
-688	0	0
-688	0	0
-688	0	0
-688	0	0
-672	0	0
-704	0	0
-672	0	0
-688	0	0
-656	0	0
-656	0	0
-672	0	0
-656	0	0
-704	0	0
-704	0	0
-624	0	0
-688	0	0
-688	0	0
-688	0	0
-672	0	0
-656	0	0
-672	0	0
-656	0	0
-704	0	0
-656	0	0
-672	0	0
-656	0	0
-672	0	0
-672	0	0
-688	0	0
-672	0	0
-688	0	0
-656	0	0
-656	0	0
-672	0	0
-672	0	0
-704	0	0
-624	0	0
-656	0	0
-656	0	0
-688	0	0
-672	0	0
-688	0	0
-672	0	0
-704	0	0
-688	0	0
-688	0	0
-672	0	0
-672	0	0
-704	0	0
-656	0	0
-672	0	0
-704	0	0
-656	0	0
-688	0	0
-656	0	0
-688	0	0
-656	0	0
-656	0	0
-656	0	0
-672	0	0
-640	0	0
-656	0	0
-624	0	0
-656	0	0
-704	0	0
-688	0	0
-688	0	0
-720	0	0
-672	0	0
-640	0	0
-640	0	0
-640	0	0
-640	0	0
-640	0	0
-640	0	0
-640	0	0
-672	0	0
-656	0	0
-672	0	0
-672	0	0
-656	0	0
-688	0	0
-688	0	0
-656	0	0
-704	0	0
-720	0	0
-656	0	0
-656	0	0
-656	0	0
-672	0	0
-672	0	0
-688	0	0
-672	0	0
-672	0	0
-656	0	0
-688	0	0
-688	0	0
-688	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-672	0	0
-672	0	0
-672	0	0
-704	0	0
-720	0	0
-704	0	0
-688	0	0
-736	0	0
-688	0	0
-656	0	0
-656	0	0
-704	0	0
-672	0	0
-688	0	0
-688	0	0
-704	0	0
-656	0	0
-688	0	0
-672	0	0
-672	0	0
-656	0	0
-704	0	0
-704	0	0
-704	0	0
-688	0	0
-656	0	0
-688	0	0
-688	0	0
-656	0	0
-688	0	0
-672	0	0
-672	0	0
-672	0	0
-656	0	0
-672	0	0
-656	0	0
-704	0	0
-656	0	0
-672	0	0
-656	0	0
-672	0	0
-640	0	0
-656	0	0
-640	0	0
-656	0	0
-640	0	0
-624	0	0
-688	0	0
-672	0	0
-688	0	0
-688	0	0
-672	0	0
-688	0	0
-688	0	0
-672	0	0
-688	0	0
-640	0	0
-656	0	0
-640	0	0
-672	0	0
-656	0	0
-640	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-704	0	0
-672	0	0
-656	0	0
-672	0	0
-672	0	0
-704	0	0
-672	0	0
-624	0	0
-688	0	0
-688	0	0
-640	0	0
-656	0	0
-688	0	0
-656	0	0
-656	0	0
-656	0	0
-656	0	0
-672	0	0
-656	0	0
-640	0	0
-688	0	0
-688	0	0
-672	0	0
-672	0	0
-688	0	0
-688	0	0
-672	0	0
-704	0	0
-688	0	0
-656	0	0
-608	0	0
-640	0	0
-656	0	0
-624	0	0
-672	0	0
-624	0	0
-656	0	0
-672	0	0
-640	0	0
-672	0	0
-672	0	0
-656	0	0
-656	0	0
-672	0	0
-672	0	0
-656	0	0
-688	0	0
-640	0	0
-656	0	0
-688	0	0
-656	0	0
-672	0	0
-656	0	0
-672	0	0
-704	0	0
-672	0	0
-688	0	0
-688	0	0
-704	0	0
-704	0	0
-688	0	0
-640	0	0
-688	0	0
-688	0	0
-688	0	0
-672	0	0
-672	0	0
-672	0	0
-720	0	0
-704	0	0
-736	0	0
-688	0	0
-672	0	0
-688	0	0
-704	0	0
-672	0	0
-656	0	0
-704	0	0
-688	0	0
-672	0	0
-656	0	0
-640	0	0
-672	0	0
-656	0	0
-704	0	0
-656	0	0
-688	0	0
-656	0	0
-656	0	0
-656	0	0
-672	0	0
-640	0	0
-688	0	0
-672	0	0
-704	0	0
-688	0	0
-656	0	0
-672	0	0
-688	0	0
-688	0	0
-656	0	0
-624	0	0
-688	0	0
-624	0	0
-672	0	0
-656	0	0
-640	0	0
-640	0	0
-688	0	0
-672	0	0
-640	0	0
-640	0	0
-640	0	0
-688	0	0
-688	0	0
-656	0	0
-672	0	0
-688	0	0
-656	0	0
-672	0	0
-704	0	0
-688	0	0
-672	0	0
-720	0	0
-704	0	0
-640	0	0
-688	0	0
-656	0	0
-688	0	0
-672	0	0
-656	0	0
-672	0	0
-704	0	0
-672	0	0
-640	0	0
-672	0	0
-656	0	0
-624	0	0
-640	0	0
-640	0	0
-640	0	0
-656	0	0
-656	0	0
-640	0	0
-640	0	0
-656	0	0
-656	0	0
-688	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-688	0	0
-656	0	0
-656	0	0
-672	0	0
-656	0	0
-640	0	0
-640	0	0
-624	0	0
-640	0	0
-672	0	0
-624	0	0
-640	0	0
-640	0	0
-624	0	0
-656	0	0
-656	0	0
-656	0	0
-656	0	0
-672	0	0
-672	0	0
-672	0	0
-656	0	0
-672	0	0
-672	0	0
-656	0	0
-656	0	0
-688	0	0
-656	0	0
-672	0	0
-688	0	0
-704	0	0
-688	0	0
-688	0	0
-672	0	0
-672	0	0
-672	0	0
-720	0	0
-720	0	0
-672	0	0
-688	0	0
-704	0	0
-688	0	0
-672	0	0
-672	0	0
-672	0	0
-720	0	0
-672	0	0
-688	0	0
-672	0	0
-704	0	0
-672	0	0
-704	0	0
-688	0	0
-704	0	0
-672	0	0
-688	0	0
-672	0	0
-672	0	0
-640	0	0
-672	0	0
-640	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-656	0	0
-656	0	0
-672	0	0
-672	0	0
-704	0	0
-672	0	0
-656	0	0
-672	0	0
-672	0	0
-672	0	0
-672	0	0
-656	0	0
-672	0	0
-672	0	0
-640	0	0
-672	0	0
-672	0	0
-672	0	0
-640	0	0
-688	0	0
-688	0	0
-688	0	0
-656	0	0
-640	0	0
-672	0	0
-640	0	0
-656	0	0
-640	0	0
-672	0	0
-688	0	0
-704	0	0
-688	0	0
-656	0	0
-688	0	0
-672	0	0
-672	0	0
-624	0	0
-672	0	0
-688	0	0
-688	0	0
-672	0	0
-672	0	0
-672	0	0
-656	0	0
-656	0	0
-672	0	0
-688	0	0
-688	0	0
-656	0	0
-672	0	0
-720	0	0
-656	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-688	0	0
-688	0	0
-688	0	0
-672	0	0
-704	0	0
-688	0	0
-672	0	0
-624	0	0
-608	0	0
-640	0	0
-624	0	0
-624	0	0
-640	0	0
-640	0	0
-656	0	0
-624	0	0
-672	0	0
-672	0	0
-656	0	0
-640	0	0
-656	0	0
-656	0	0
-704	0	0
-640	0	0
-704	0	0
-688	0	0
-656	0	0
-656	0	0
-672	0	0
-672	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-640	0	0
-672	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-656	0	0
-704	0	0
-656	0	0
-688	0	0
-672	0	0
-672	0	0
-672	0	0
-720	0	0
-720	0	0
-672	0	0
-688	0	0
-672	0	0
-672	0	0
-672	0	0
-672	0	0
-672	0	0
-688	0	0
-656	0	0
-656	0	0
-672	0	0
-656	0	0
-656	0	0
-640	0	0
-656	0	0
-656	0	0
-672	0	0
-656	0	0
-640	0	0
-656	0	0
-656	0	0
-672	0	0
-672	0	0
-672	0	0
-640	0	0
-640	0	0
-656	0	0
-672	0	0
-672	0	0
-640	0	0
-672	0	0
-656	0	0
-656	0	0
-656	0	0
-688	0	0
-624	0	0
-672	0	0
-640	0	0
-656	0	0
-640	0	0
-656	0	0
-672	0	0
-640	0	0
-656	0	0
-656	0	0
-672	0	0
-704	0	0
-704	0	0
-640	0	0
-640	0	0
-688	0	0
-704	0	0
-672	0	0
-656	0	0
-672	0	0
-656	0	0
-656	0	0
-656	0	0
-656	0	0
-656	0	0
-656	0	0
-656	0	0
-672	0	0
-688	0	0
-656	0	0
-656	0	0
-656	0	0
-672	0	0
-656	0	0
-672	0	0
-656	0	0
-672	0	0
-688	0	0
-656	0	0
-672	0	0
-688	0	0
-704	0	0
-720	0	0
-672	0	0
-624	0	0
-624	0	0
-624	0	0
-608	0	0
-640	0	0
-624	0	0
-624	0	0
-624	0	0
-640	0	0
-656	0	0
-656	0	0
-672	0	0
-656	0	0
-656	0	0
-656	0	0
-656	0	0
-688	0	0
-656	0	0
-640	0	0
-688	0	0
-656	0	0
-656	0	0
-688	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-672	0	0
-704	0	0
-656	0	0
-672	0	0
-640	0	0
-688	0	0
-672	0	0
-672	0	0
-688	0	0
-688	0	0
-656	0	0
-688	0	0
-688	0	0
-672	0	0
-656	0	0
-704	0	0
-704	0	0
-704	0	0
-704	0	0
-688	0	0
-688	0	0
-656	0	0
-656	0	0
-688	0	0
-672	0	0
-672	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-672	0	0
-624	0	0
-688	0	0
-656	0	0
-688	0	0
-672	0	0
-656	0	0
-672	0	0
-688	0	0
-656	0	0
-672	0	0
-656	0	0
-688	0	0
-672	0	0
-640	0	0
-640	0	0
-672	0	0
-656	0	0
-672	0	0
-688	0	0
-704	0	0
-672	0	0
-656	0	0
-656	0	0
-688	0	0
-640	0	0
-656	0	0
-704	0	0
-688	0	0
-672	0	0
-640	0	0
-672	0	0
-656	0	0
-672	0	0
-656	0	0
-656	0	0
-624	0	0
-688	0	0
-640	0	0
-640	0	0
-672	0	0
-656	0	0
-720	0	0
-688	0	0
-688	0	0
-672	0	0
-656	0	0
-688	0	0
-688	0	0
-656	0	0
-656	0	0
-624	0	0
-672	0	0
-672	0	0
-672	0	0
-656	0	0
-656	0	0
-656	0	0
-640	0	0
-672	0	0
-656	0	0
-688	0	0
-672	0	0
-656	0	0
-624	0	0
-640	0	0
-688	0	0
-720	0	0
-704	0	0
-720	0	0
-656	0	0
-656	0	0
-656	0	0
-640	0	0
-624	0	0
-656	0	0
-640	0	0
-656	0	0
-656	0	0
-656	0	0
-672	0	0
-672	0	0
-656	0	0
-640	0	0
-656	0	0
-656	0	0
-640	0	0
-656	0	0
-688	0	0
-688	0	0
-672	0	0
-656	0	0
-672	0	0
-688	0	0
-640	0	0
-656	0	0
-640	0	0
-672	0	0
-656	0	0
-672	0	0
-704	0	0
-656	0	0
-656	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-672	0	0
-656	0	0
-688	0	0
-656	0	0
-688	0	0
-672	0	0
-688	0	0
-688	0	0
-640	0	0
-656	0	0
-672	0	0
-672	0	0
-704	0	0
-704	0	0
-688	0	0
-656	0	0
-672	0	0
-656	0	0
-640	0	0
-640	0	0
-624	0	0
-656	0	0
-672	0	0
-656	0	0
-656	0	0
-656	0	0
-688	0	0
-672	0	0
-672	0	0
-656	0	0
-640	0	0
-656	0	0
-656	0	0
-704	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-704	0	0
-672	0	0
-656	0	0
-672	0	0
-640	0	0
-656	0	0
-672	0	0
-656	0	0
-640	0	0
-656	0	0
-672	0	0
-672	0	0
-656	0	0
-672	0	0
-672	0	0
-640	0	0
-672	0	0
-656	0	0
-672	0	0
-624	0	0
-688	0	0
-608	0	0
-672	0	0
-672	0	0
-672	0	0
-672	0	0
-656	0	0
-704	0	0
-640	0	0
-656	0	0
-672	0	0
-704	0	0
-640	0	0
-672	0	0
-640	0	0
-640	0	0
-656	0	0
-656	0	0
-688	0	0
-656	0	0
-624	0	0
-672	0	0
-656	0	0
-640	0	0
-656	0	0
-640	0	0
-640	0	0
-672	0	0
-672	0	0
-656	0	0
-720	0	0
-672	0	0
-688	0	0
-688	0	0
-640	0	0
-640	0	0
-624	0	0
-624	0	0
-640	0	0
-640	0	0
-672	0	0
-640	0	0
-624	0	0
-672	0	0
-656	0	0
-672	0	0
-656	0	0
-640	0	0
-672	0	0
-640	0	0
-656	0	0
-656	0	0
-672	0	0
-672	0	0
-656	0	0
-640	0	0
-640	0	0
-672	0	0
-672	0	0
-688	0	0
-640	0	0
-656	0	0
-688	0	0
-656	0	0
-640	0	0
-656	0	0
-640	0	0
-688	0	0
-672	0	0
-704	0	0
-704	0	0
-688	0	0
-704	0	0
-704	0	0
-688	0	0
-688	0	0
-656	0	0
-688	0	0
-688	0	0
-688	0	0
-704	0	0
-688	0	0
-656	0	0
-688	0	0
-704	0	0
-688	0	0
-624	0	0
-688	0	0
-656	0	0
-656	0	0
-688	0	0
-656	0	0
-640	0	0
-672	0	0
-640	0	0
-672	0	0
-672	0	0
-656	0	0
-640	0	0
-672	0	0
-672	0	0
-672	0	0
-624	0	0
-672	0	0
-672	0	0
-656	0	0
-688	0	0
-688	0	0
-672	0	0
-656	0	0
-704	0	0
-672	0	0
-672	0	0
-672	0	0
-672	0	0
-672	0	0
-656	0	0
-656	0	0
-672	0	0
-656	0	0
-656	0	0
-656	0	0
-656	0	0
-656	0	0
-656	0	0
-640	0	0
-672	0	0
-672	0	0
-656	0	0
-640	0	0
-640	0	0
-688	0	0
-640	0	0
-688	0	0
-672	0	0
-672	0	0
-640	0	0
-656	0	0
-672	0	0
-656	0	0
-672	0	0
-656	0	0
-672	0	0
-640	0	0
-688	0	0
-672	0	0
-688	0	0
-688	0	0
-656	0	0
-672	0	0
-656	0	0
-656	0	0
-672	0	0
-640	0	0
-640	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-640	0	0
-640	0	0
-624	0	0
-672	0	0
-672	0	0
-720	0	0
-672	0	0
-688	0	0
-672	0	0
-672	0	0
-640	0	0
-624	0	0
-624	0	0
-624	0	0
-656	0	0
-640	0	0
-640	0	0
-656	0	0
-656	0	0
-656	0	0
-672	0	0
-656	0	0
-672	0	0
-656	0	0
-640	0	0
-656	0	0
-704	0	0
-688	0	0
-656	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-656	0	0
-704	0	0
-688	0	0
-672	0	0
-656	0	0
-656	0	0
-704	0	0
-656	0	0
-672	0	0
-656	0	0
-672	0	0
-688	0	0
-704	0	0
-704	0	0
-688	0	0
-656	0	0
-672	0	0
-720	0	0
-688	0	0
-656	0	0
-704	0	0
-720	0	0
-688	0	0
-688	0	0
-688	0	0
-672	0	0
-672	0	0
-656	0	0
-688	0	0
-672	0	0
-656	0	0
-656	0	0
-672	0	0
-640	0	0
-688	0	0
-688	0	0
-640	0	0
-704	0	0
-672	0	0
-656	0	0
-656	0	0
-640	0	0
-656	0	0
-672	0	0
-656	0	0
-656	0	0
-656	0	0
-656	0	0
-640	0	0
-640	0	0
-672	0	0
-656	0	0
-656	0	0
-672	0	0
-640	0	0
-640	0	0
-672	0	0
-640	0	0
-672	0	0
-656	0	0
-640	0	0
-656	0	0
-656	0	0
-688	0	0
-656	0	0
-672	0	0
-640	0	0
-672	0	0
-688	0	0
-656	0	0
-672	0	0
-656	0	0
-672	0	0
-672	0	0
-688	0	0
-672	0	0
-672	0	0
-656	0	0
-640	0	0
-640	0	0
-656	0	0
-656	0	0
-704	0	0
-672	0	0
-672	0	0
-656	0	0
-656	0	0
-672	0	0
-640	0	0
-656	0	0
-656	0	0
-704	0	0
-640	0	0
-640	0	0
-672	0	0
-672	0	0
-640	0	0
-688	0	0
-640	0	0
-640	0	0
-656	0	0
-688	0	0
-704	0	0
-688	0	0
-688	0	0
-704	0	0
-672	0	0
-608	0	0
-608	0	0
-656	0	0
-640	0	0
-640	0	0
-640	0	0
-656	0	0
-656	0	0
-672	0	0
-672	0	0
-624	0	0
-672	0	0
-688	0	0
-688	0	0
-672	0	0
-656	0	0
-672	0	0
-672	0	0
-672	0	0
-688	0	0
-672	0	0
-656	0	0
-640	0	0
-656	0	0
-688	0	0
-688	0	0
-656	0	0
-656	0	0
-640	0	0
-672	0	0
-640	0	0
-672	0	0
-672	0	0
-688	0	0
-704	0	0
-688	0	0
-704	0	0
-688	0	0
-688	0	0
-688	0	0
-704	0	0
-688	0	0
-720	0	0
-672	0	0
-672	0	0
-704	0	0
-688	0	0
-688	0	0
-688	0	0
-688	0	0
-688	0	0
-704	0	0
-656	0	0
-688	0	0
-640	0	0
-688	0	0
-672	0	0
-672	0	0
-656	0	0
-656	0	0
-656	0	0
-672	0	0
-672	0	0
-688	0	0
-640	0	0
-656	0	0
-624	0	0
-672	0	0
-672	0	0
-720	0	0
-640	0	0
-656	0	0
-672	0	0
-672	0	0
-656	0	0
-688	0	0
-672	0	0
-672	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-656	0	0
-640	0	0
-672	0	0
-640	0	0
-672	0	0
-656	0	0
-672	0	0
-624	0	0
-672	0	0
-624	0	0
-656	0	0
-656	0	0
-672	0	0
-688	0	0
-688	0	0
-656	0	0
-656	0	0
-624	0	0
-672	0	0
-640	0	0
-672	0	0
-656	0	0
-656	0	0
-672	0	0
-672	0	0
-640	0	0
-704	0	0
-672	0	0
-672	0	0
-656	0	0
-640	0	0
-656	0	0
-672	0	0
-640	0	0
-656	0	0
-656	0	0
-656	0	0
-672	0	0
-672	0	0
-688	0	0
-672	0	0
-656	0	0
-656	0	0
-640	0	0
-688	0	0
-688	0	0
-688	0	0
-656	0	0
-656	0	0
-640	0	0
-656	0	0
-592	0	0
-608	0	0
-656	0	0
-640	0	0
-640	0	0
-640	0	0
-672	0	0
-688	0	0
-672	0	0
-672	0	0
-672	0	0
-688	0	0
-704	0	0
-672	0	0
-640	0	0
-672	0	0
-688	0	0
-656	0	0
-656	0	0
-688	0	0
-672	0	0
-656	0	0
-656	0	0
-640	0	0
-688	0	0
-656	0	0
-656	0	0
-672	0	0
-656	0	0
-688	0	0
-672	0	0
-688	0	0
-656	0	0
-688	0	0
-672	0	0
-672	0	0
-672	0	0
-672	0	0
-688	0	0
-704	0	0
-672	0	0
-704	0	0
-688	0	0
-688	0	0
-688	0	0
-688	0	0
-672	0	0
-656	0	0
-672	0	0
-656	0	0
-672	0	0
-656	0	0
-656	0	0
-704	0	0
-672	0	0
-640	0	0
-656	0	0
-640	0	0
-672	0	0
-672	0	0
-688	0	0
-688	0	0
-672	0	0
-656	0	0
-656	0	0
-672	0	0
-640	0	0
-688	0	0
-672	0	0
-656	0	0
-656	0	0
-672	0	0
-656	0	0
-656	0	0
-672	0	0
-672	0	0
-672	0	0
-624	0	0
-672	0	0
-672	0	0
-688	0	0
-672	0	0
-640	0	0
-656	0	0
-672	0	0
-656	0	0
-640	0	0
-688	0	0
-656	0	0
-656	0	0
-656	0	0
-640	0	0
-672	0	0
-656	0	0
-672	0	0
-672	0	0
-704	0	0
-688	0	0
-672	0	0
-704	0	0
-640	0	0
-656	0	0
-688	0	0
-688	0	0
-688	0	0
-672	0	0
-688	0	0
-656	0	0
-656	0	0
-688	0	0
-688	0	0
-672	0	0
-672	0	0
-624	0	0
-656	0	0
-656	0	0
-656	0	0
-672	0	0
-656	0	0
-688	0	0
-672	0	0
-640	0	0
-656	0	0
-704	0	0
-672	0	0
-688	0	0
-672	0	0
-688	0	0
-688	0	0
-704	0	0
-656	0	0
-640	0	0
-640	0	0
-640	0	0
-608	0	0
-624	0	0
-624	0	0
-672	0	0
-624	0	0
-624	0	0
-688	0	0
-672	0	0
-672	0	0
-688	0	0
-640	0	0
-672	0	0
-640	0	0
-672	0	0
-656	0	0
-672	0	0
-688	0	0
-672	0	0
-672	0	0
-688	0	0
-656	0	0
-656	0	0
-688	0	0
-688	0	0
-656	0	0
-688	0	0
-704	0	0
-688	0	0
-672	0	0
-672	0	0
-672	0	0
-672	0	0
-672	0	0
-656	0	0
-688	0	0
-656	0	0
-672	0	0
-688	0	0
-688	0	0
-688	0	0
-672	0	0
